,total_count,b1_count,b2_count,b3_count,b4_count,b5_count,gender_freq,gender_proximity,tf_idf,deadly_word,deadly_last_5_mention,deadly_last_5density,deadly_last_1_mention,deadly_last_1density,deg_center,between_center,close_center,page_rank
404,25,0,0,5,20,0,1,1,0.010279397106967547,5,4,0.010582010582010581,3,0.00974025974025974,1.0,0.0,1.0,0.001022289576793701
405,2,0,1,1,0,0,1,0,0.0016651544480828107,1,5,0.00513347022587269,5,0.0056947608200455585,1.0,0.0,1.0,0.0015694768051188975
406,93,8,21,20,8,36,1,0,0.005066602161432652,3,27,0.009342560553633217,13,0.01463963963963964,1.0,0.0,1.0,0.000945181587783881
407,6,0,6,0,0,0,1,0,0.020567070701138772,1,0,0.0,0,0.0,1.0,0.0,1.0,0.0008811962657779325
408,16,16,0,0,0,0,1,0,0.022217266197707638,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0009026568423453798
409,1,1,0,0,0,0,1,0,0.017628917743833232,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0005289067893564225
410,3,0,3,0,0,0,1,1,0.01885884223758904,1,1,0.011627906976744186,1,0.019230769230769232,1.0,0.0,1.0,0.0009019407953987615
411,9,0,0,5,2,2,1,0,0.005252989254842615,2,6,0.004858299595141701,3,0.007853403141361256,1.0,0.0,1.0,0.0009580936047760099
412,10,0,0,2,3,5,1,1,0.004045404442356258,1,2,0.001968503937007874,0,0.0,1.0,0.0,1.0,0.0009915006893058906
413,3,0,0,3,0,0,1,1,0.002452409928073575,0,2,0.004032258064516129,2,0.004329004329004329,1.0,0.0,1.0,0.0007399253853260026
414,3,0,0,0,0,3,1,0,0.004792731774328184,0,2,0.004739336492890996,2,0.004878048780487805,1.0,0.0,1.0,0.0010114076522680661
415,198,4,22,31,76,65,1,0,0.017783557373165105,2,6,0.006172839506172839,3,0.007853403141361256,1.0,0.0,1.0,0.0018522756834307532
416,1398,455,300,283,170,190,1,0,0.01017657707552124,7,41,0.013509060955518945,8,0.017857142857142856,1.0,0.0,1.0,0.001229615816459305
417,666,62,108,206,144,146,1,1,0.01134006295507994,2,22,0.012607449856733524,7,0.01580135440180587,1.0,0.0,1.0,0.0011971102252599296
418,61,6,11,12,11,21,1,1,0.00900148471831485,4,38,0.015510204081632653,8,0.017857142857142856,1.0,0.0,1.0,0.0030782347258786493
419,1398,455,300,283,170,190,1,0,0.021903239175088338,21,23,0.0164756446991404,8,0.017857142857142856,1.0,0.0,1.0,0.0013009998096386673
420,400,20,31,28,149,172,1,1,0.020744726461347944,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0008927318942567098
421,18,0,1,6,8,3,1,0,0.0066469689853797444,1,3,0.00546448087431694,3,0.005545286506469501,1.0,0.0,1.0,0.0005501136552553144
422,1,0,0,1,0,0,1,1,0.01930786229086497,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0006192471966241699
423,1,0,1,0,0,0,1,1,0.08109302162163289,0,0,0.0,0,0.0,1.0,0.0,1.0,0.001010764453705969
424,84,1,10,32,20,21,1,0,0.015507527455629421,2,2,0.002386634844868735,1,0.0035587188612099642,1.0,0.0,1.0,0.0006754527981326424
425,114,0,0,28,8,78,1,0,0.025253882165906433,7,5,0.01718213058419244,5,0.022727272727272728,1.0,0.0,1.0,0.0007445883301097476
426,51,48,1,2,0,0,1,0,0.03427974493913147,0,0,0.0,0,0.0,1.0,0.0,1.0,0.001059602622329043
427,416,119,155,86,27,29,1,1,0.02836587176065348,17,1,0.014285714285714285,0,0.0,1.0,0.0,1.0,0.001305214671917458
428,469,68,77,56,169,99,1,1,0.023745249933499784,4,4,0.004932182490752158,0,0.0,1.0,0.0,1.0,0.0010261107740727323
429,17,0,14,1,1,1,1,1,0.006858876259474478,3,23,0.016129032258064516,8,0.017857142857142856,1.0,0.0,1.0,0.0009540109027939371
430,54,0,0,0,33,21,1,0,0.015836347656749853,4,3,0.011278195488721804,3,0.013761467889908258,1.0,0.0,1.0,0.003579096440813747
431,682,62,124,206,144,146,1,1,0.019629440010953954,16,39,0.014823261117445839,11,0.013205282112845138,1.0,0.0,1.0,0.0009440954578453917
432,1,1,0,0,0,0,1,1,0.04054651081081644,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0007681639022522836
433,166,8,18,85,28,27,1,1,0.005690738359412834,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0007385064324957839
434,4,0,0,4,0,0,1,0,0.025341569256760274,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0008482833286975161
435,138,47,15,20,50,6,1,0,0.02444293204907374,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0009176367404100086
436,70,5,39,12,8,6,1,0,0.01784328211709351,6,3,0.009900990099009901,3,0.013761467889908258,1.0,0.0,1.0,0.0007680930584090292
437,68,0,64,1,3,0,1,1,0.025684022895365144,7,2,0.019230769230769232,0,0.0,1.0,0.0,1.0,0.0006582236611974843
438,2,0,2,0,0,0,1,0,0.04914728583129265,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0009559135847002239
439,212,5,53,59,36,59,1,1,0.012431311588364554,2,15,0.013686131386861315,14,0.018134715025906734,1.0,0.0,1.0,0.0006210968605114228
440,2,0,0,2,0,0,1,0,0.07602470777028082,1,1,0.0625,1,0.125,1.0,0.0,1.0,0.0006588951593331776
441,166,8,18,85,28,27,1,0,0.0018334597179094168,1,7,0.007049345417925478,4,0.011695906432748537,1.0,0.0,1.0,0.002296697209750236
442,1398,455,300,283,170,190,1,0,0.010172292753516745,10,56,0.01384083044982699,8,0.017857142857142856,1.0,0.0,1.0,0.0009061257386448147
443,18,15,0,0,3,0,1,1,0.019381697328306136,0,0,0.0,0,0.0,1.0,0.0,1.0,0.000694746882647984
444,62,0,2,17,29,14,1,0,0.017307989548873307,0,4,0.022727272727272728,4,0.027586206896551724,1.0,0.0,1.0,0.0008418118930992013
445,13,0,13,0,0,0,1,0,0.016847580669314313,2,4,0.016736401673640166,1,0.005291005291005291,1.0,0.0,1.0,0.0006816190896339895
446,64,0,0,2,1,61,1,1,0.17811822629917157,0,4,0.019704433497536946,4,0.027586206896551724,1.0,0.0,1.0,0.000615939556796056
447,12,8,1,1,1,1,1,1,0.03516789202978977,0,1,0.25,1,0.25,1.0,0.0,1.0,0.0011195563556319348
448,190,10,36,22,32,90,1,0,0.009596807292500932,2,22,0.012933568489124045,11,0.013205282112845138,1.0,0.0,1.0,0.0011107030552175352
449,190,10,36,22,32,90,1,1,0.00675775180180274,2,22,0.01301775147928994,11,0.013205282112845138,1.0,0.0,1.0,0.0008371419767581737
450,109,0,64,5,2,38,1,0,0.030675509024244055,1,0,0.0,0,0.0,1.0,0.0,1.0,0.0007365153537112446
451,41,0,0,0,0,41,1,1,0.01941794132331004,1,0,0.0,0,0.0,1.0,0.0,1.0,0.0009221798499306745
452,12,0,0,1,7,4,1,1,0.008644433776925331,1,14,0.018134715025906734,14,0.018134715025906734,1.0,0.0,1.0,0.0007681478030545361
453,62,7,9,8,35,3,1,1,0.010880570311340976,1,14,0.018134715025906734,14,0.018134715025906734,1.0,0.0,1.0,0.0007114650915139601
454,170,35,124,7,4,0,1,1,0.028575636190480154,11,5,0.03875968992248062,1,0.022727272727272728,1.0,0.0,1.0,0.0009726263754587635
455,32,0,0,0,1,31,1,1,0.008289725601730361,2,0,0.0,0,0.0,1.0,0.0,1.0,0.0008902869406494482
456,15,0,0,9,6,0,1,0,0.0073667352490582195,4,4,0.009852216748768473,3,0.00974025974025974,1.0,0.0,1.0,0.0005321721740696054
457,115,0,0,8,7,100,1,1,0.03097935657455638,2,4,0.014134275618374558,3,0.015384615384615385,1.0,0.0,1.0,0.0008281158950248077
458,21,0,0,1,14,6,1,0,0.0079644931949818,1,3,0.005535055350553505,3,0.005703422053231939,1.0,0.0,1.0,0.0009638479346233471
